"Measurement outcome","Frequency"
"0000","10955"
"0001","3293"
"0010","1905"
"0011","9636"
"0100","6318"
"0101","8257"
"0110","6444"
"0111","4025"
"1000","2840"
"1001","7606"
"1010","9412"
"1011","4641"
"1100","4350"
"1101","5788"
"1110","8076"
"1111","6454"
