"Measurement outcome","Frequency"
"0000","4710"
"0001","9969"
"0010","8353"
"0011","2783"
"0100","11435"
"0101","1968"
"0110","1561"
"0111","10608"
"1000","9734"
"1001","1543"
"1010","2682"
"1011","10736"
"1100","1687"
"1101","10574"
"1110","10484"
"1111","1173"
