"Measurement outcome","Frequency"
"0000","8350"
"0001","2894"
"0010","4602"
"0011","9783"
"0100","11146"
"0101","2005"
"0110","1515"
"0111","10468"
"1000","2585"
"1001","10731"
"1010","9588"
"1011","1463"
"1100","1679"
"1101","11212"
"1110","10746"
"1111","1233"
